device,part
0,178
0,179
0,182
0,196
0,197
0,199
0,211
0,218
0,219
0,220
0,221
0,222
0,223
0,224
0,226
0,227
0,228
0,229
0,231
0,232
0,234
0,235
0,237
0,238
0,242
0,244
0,248
0,249
0,250
0,253
0,254
0,255
0,258
0,259
0,260
0,261
0,262
0,269
0,270
0,271
0,272
0,273
0,274
0,275
0,277
0,278
0,281
0,284
0,288
0,289
0,292
0,296
0,300
0,304
0,305
0,306
0,307
0,308
0,309
0,314
0,324
0,341
0,342
0,345
0,348
0,354
0,361
0,376
0,401
0,402
0,404
0,406
0,407
0,431
0,432
0,433
0,438
0,448
0,449
0,461
0,465
0,479
0,482
0,485
0,486
0,487
0,488
0,495
0,496
0,497
0,499
0,500
0,501
0,526
0,527
0,528
0,535
0,536
0,543
0,544
0,545
0,546
0,547
0,548
0,549
0,550
0,551
0,553
0,554
0,555
0,558
0,559
0,568
0,570
0,583
0,592
0,596
0,605
0,606
0,617
0,619
0,621
0,629
0,630
0,642
0,650
0,655
0,665
0,666
0,667
0,668
0,711
0,713
0,769
0,770
0,804
0,819
0,822
0,825
0,826
0,839
0,853
0,901
0,927
0,949
0,954
0,1011
0,1013
0,1042
0,1159
0,1179
0,1180
0,1187
0,1190
0,1195
0,1197
0,1290
0,1310
0,1311
0,1344
0,1346
0,1350
0,1351
0,1375
0,1376
0,1379
0,1380
0,1482
0,1504
0,1525
0,1561
0,1574
0,1575
0,1577
0,1578
0,1580
0,1586
0,1597
0,1598
0,1599
0,1600
0,1601
0,1602
0,1603
0,1613
0,1617
0,1618
0,1619
0,1731
0,1732
0,1742
0,1835
0,1843
0,1910
0,1960
0,1986
0,1994
0,1997
0,2017
0,2115
0,2116
0,2189
0,2190
0,2545
0,2552
0,2607
0,2608
0,2615
0,2624
0,2697
0,2732
0,2783
0,2784
0,2795
0,2803
0,2804
0,2856
0,2857
0,2961
0,3066
0,3155
0,3156
0,3157
0,3158
0,3159
0,3178
0,3200
0,3224
0,3236
0,3241
0,3254
0,3278
0,3281
0,3292
0,3293
0,3303
0,3312
0,3327
0,3328
0,3370
0,3444
0,3469
0,3472
0,3481
0,3501
0,3525
0,3557
0,3567
0,3573
0,3574
0,3575
0,3630
0,3638
0,3641
0,3648
0,3730
0,3731
0,3843
0,3844
0,3845
0,3866
0,3872
0,3883
0,3916
0,3924
0,3925
0,4068
0,4154
0,4155
0,4248
0,4256
0,4257
0,4258
0,4278
0,4321
0,4455
0,4461
0,4463
0,4464
1,178
1,179
1,182
1,196
1,197
1,199
1,211
1,218
1,219
1,220
1,221
1,222
1,223
1,224
1,226
1,227
1,228
1,229
1,231
1,232
1,234
1,235
1,237
1,238
1,242
1,244
1,248
1,249
1,250
1,253
1,254
1,255
1,258
1,259
1,260
1,261
1,262
1,269
1,270
1,271
1,272
1,273
1,274
1,275
1,277
1,278
1,281
1,284
1,288
1,289
1,292
1,296
1,300
1,304
1,305
1,306
1,307
1,308
1,309
1,314
1,324
1,341
1,342
1,345
1,348
1,354
1,361
1,366
1,401
1,402
1,404
1,406
1,407
1,431
1,432
1,433
1,438
1,448
1,449
1,461
1,465
1,479
1,482
1,485
1,486
1,487
1,488
1,495
1,496
1,497
1,499
1,500
1,501
1,526
1,527
1,528
1,535
1,536
1,543
1,544
1,545
1,546
1,547
1,548
1,549
1,550
1,551
1,553
1,554
1,555
1,558
1,559
1,568
1,570
1,592
1,596
1,605
1,606
1,617
1,619
